UKPRN,Univ,T1 - Communication and Interaction,T2 - Philosophy of Education,T3 - Methodological Depth,T4 - Citizenship and Culture,T5 - Developmental Psychology,T6 - Health and Medicine,T7 - Mathematics,T8 - Gender,T9 - Regional issues and international development,T10 - Psychiatry and Psychopathology,T11 - Non-English Components,T12 - Language and Linguistics,T13 - Technology Enhanced Learning,T14 - Critical and Social Theory,"T15 - History, Religion and Race",T16 - Early Childhood and Families,T17 - Leadership and Management,T18 - New Materialism,T19 - Clinical Psychology and Developmental Disorders,T20 - Claims of Significance,T21 - Sports and Health,T22 - Analysing large-scale data,T23 - Schooling Systems,T24 - Affective Factors,T25 - Children's Social Care,T26 - Education Policy,T27 - Higher Education,T28 - Training and Employment,T29 - Special Educational Needs and Disabilities,T30 - Teacher Education and Professional Development,T31 - Science Education,T32 - Interviews and Focus Groups,T33 - Systematic Reviews and Meta-Analyses,T34 - Cognitive Processing,T35 - Reading,UKPRN2,4*,3*,2*,1*,outputGPA,UKPRN3
10007795,University of Leeds,0.0250195017,0.0470110088,0.1012456192,0.0063797371,0.0069462866,0.0388433706,0.0119771283,0.0066971015,0.0169361973,0.0091559227,0.0014007373,0.0239382336,0.0124446597,0.0501139632,0.0128473222,0.0270396744,0.0217549544,0.0218929514,0.0139460039,0.0112645197,0.0116700179,0.0290899852,0.0556925599,0.0152091305,0.0105656758,0.0525463507,0.0388551194,0.0188216356,0.0107617856,0.0935512808,0.0259321831,0.1087657285,0.0074380333,0.0130559019,0.0411897180,10007795,17.4,49.5,30.6,2.5,2.818,10007795
10007792,University of Exeter,0.0854489871,0.0726076563,0.0850632898,0.0058611568,0.0056227895,0.0078487983,0.0072223036,0.0151718181,0.0099141967,0.0025386830,0.0012196496,0.0315675334,0.0230392937,0.0630019985,0.0387205890,0.0231266207,0.0121033580,0.0293044012,0.0013445247,0.0151880514,0.0024181498,0.0083926477,0.0472257443,0.0181063058,0.0076912250,0.0341223174,0.0221035444,0.0109026635,0.0182448145,0.1238166487,0.0127119438,0.1214679512,0.0064827081,0.0125410511,0.0178565855,10007792,37.6,40.6,21.8,0,3.158,10007792
10003614,University of Winchester,0.0129804720,0.2393175043,0.0539576207,0.0060981580,0.0056010026,0.0119490575,0.0018061928,0.0252480938,0.0125045262,0.0031936894,0.0144229617,0.0018107433,0.0063960454,0.0458697627,0.0681070656,0.0377158772,0.0167031465,0.0737494807,0.0050901222,0.0110480989,0.0037461787,0.0016979123,0.0183690056,0.0061490180,0.0154688213,0.0511304932,0.0357521461,0.0155912908,0.0300609755,0.0497656819,0.0032121175,0.0957095891,0.0017449123,0.0124630896,0.0055691464,10003614,18.9,40.6,27,10.8,2.622,10003614
10007154,University of Nottingham,0.0328550750,0.0672969016,0.0705241844,0.0082037301,0.0128919427,0.0014541420,0.0296644775,0.0073375366,0.0217594388,0.0079321127,0.0016995249,0.0117249123,0.0267645494,0.0742362850,0.0106337319,0.0094547270,0.0520864332,0.0301346383,0.0054009948,0.0098901868,0.0031773641,0.0222298108,0.0711158883,0.0091323746,0.0216626003,0.0669671206,0.0286689844,0.0321526548,0.0026886288,0.0810559754,0.0110149069,0.1187229918,0.0026591019,0.0122019156,0.0246041564,10007154,31.2,44.1,22.5,1.1,3.032,10007154
10007794,University of Glasgow,0.0102763683,0.0998409953,0.0841329720,0.0167973184,0.0071740865,0.0075413573,0.0048871193,0.0175027934,0.0290105099,0.0046829636,0.0096646567,0.0059605321,0.0135023120,0.0608025530,0.0216168163,0.0111970344,0.0528087491,0.0276974476,0.0009541855,0.0066706871,0.0049604110,0.0206342893,0.0537162554,0.0121583510,0.0217562235,0.0907534321,0.0534719419,0.0247558329,0.0063486682,0.0931356117,0.0072310423,0.0998123291,0.0032493722,0.0116445873,0.0036501944,10007794,17.1,43.4,30.9,7.9,2.683,10007794
10005790,Sheffield Hallam University,0.0283868296,0.0562705311,0.0831896097,0.0004916492,0.0098450377,0.0065487658,0.0055494870,0.0397832356,0.0045937390,0.0252627881,0.0016000529,0.0020465714,0.0414377945,0.0661103504,0.0040058365,0.0236183553,0.0230418594,0.0533408796,0.0224458860,0.0042606179,0.0030793969,0.0177086375,0.0536089700,0.0197624944,0.0379999220,0.0472499171,0.0471515308,0.0062153499,0.0209403354,0.0835380480,0.0158021786,0.1182287015,0.0068342150,0.0101148116,0.0099356146,10005790,15.4,55.8,25,1.9,2.809,10005790
10007152,University of Bedfordshire,0.0224173105,0.0449357322,0.1024671149,0.0093314390,0.0197572276,0.0034330567,0.0010586631,0.0225303567,0.0214049459,0.0033798260,0.0010471532,0.0096027688,0.0462732116,0.0379137644,0.0573222901,0.0085133947,0.0715051182,0.0218478023,0.0003785348,0.0114670254,0.0034281048,0.0096289685,0.0874555332,0.0034225241,0.0059290680,0.0422488406,0.0305733302,0.0045872593,0.0053663955,0.1403633423,0.0019993240,0.1301173126,0.0031939608,0.0093116132,0.0057876867,10007152,18.8,37.5,34.3,9.4,2.657,10007152
10003645,King's College London,0.0753672582,0.1132749900,0.0966620487,0.0105292515,0.0160407874,0.0110128943,0.0156953075,0.0406900723,0.0056045556,0.0029865654,0.0031170542,0.0578722016,0.0056865308,0.0766133984,0.0146532538,0.0193839365,0.0144587235,0.0330293253,0.0039307217,0.0062263944,0.0039282362,0.0275818576,0.0348417854,0.0089354020,0.0097695439,0.0439781462,0.0325218016,0.0175331916,0.0037865188,0.0428688014,0.0393863416,0.0893187597,0.0031331265,0.0089757752,0.0106054413,10003645,34.1,49.2,14.4,2.3,3.151,10003645
10007163,University of Warwick,0.0457222143,0.0853535060,0.0864969718,0.0134016280,0.0056608558,0.0237858522,0.0026643623,0.0083908781,0.0065583089,0.0342938151,0.0042212209,0.0362414027,0.0091132033,0.0473757460,0.0594995597,0.0466145382,0.0195698621,0.0236418103,0.0231604257,0.0101508384,0.0027263070,0.0287875554,0.0397801606,0.0115803650,0.0257249279,0.0375301075,0.0190457619,0.0158534801,0.0060855339,0.0527919783,0.0041249645,0.1231827997,0.0160973335,0.0087703660,0.0160013588,10007163,23.1,43.3,28,5.6,2.839,10007163
10007789,University of East Anglia,0.0463971392,0.0924049858,0.0864817624,0.0099505703,0.0094495172,0.0011256789,0.0903227837,0.0196488953,0.0227220442,0.0040975403,0.0069371815,0.0048493944,0.0155716933,0.0626992218,0.0296333217,0.0123585471,0.0066640069,0.0351300803,0.0005031787,0.0102850637,0.0119949952,0.0211754538,0.0415781851,0.0483736640,0.0115438490,0.0428160714,0.0364778043,0.0231758666,0.0028218482,0.0539208442,0.0033331638,0.1095617143,0.0069158879,0.0083735703,0.0107044753,10007789,22,52,22,0,2.88,10007789
